Training CBOW_CrossEntropyLoss_SGD-lr0.020...
Training | CBOW_CrossEntropyLoss_SGD-lr0.020 | Epoch 0 | Loss 0.03887515080822781
Training | CBOW_CrossEntropyLoss_SGD-lr0.020 | Epoch 1 | Loss 0.03571249065538397
Training | CBOW_CrossEntropyLoss_SGD-lr0.020 | Epoch 2 | Loss 0.034859221171184424
Training | CBOW_CrossEntropyLoss_SGD-lr0.020 | Epoch 3 | Loss 0.03433660710727191
Training | CBOW_CrossEntropyLoss_SGD-lr0.020 | Epoch 4 | Loss 0.03396170793321118
Training | CBOW_CrossEntropyLoss_SGD-lr0.020 | Epoch 5 | Loss 0.033673378571766464
Training | CBOW_CrossEntropyLoss_SGD-lr0.020 | Epoch 6 | Loss 0.03343976608102727
Training | CBOW_CrossEntropyLoss_SGD-lr0.020 | Epoch 7 | Loss 0.03324561911177446
Training | CBOW_CrossEntropyLoss_SGD-lr0.020 | Epoch 8 | Loss 0.0330800309559612
Training | CBOW_CrossEntropyLoss_SGD-lr0.020 | Epoch 9 | Loss 0.032937679209900844
Training | CBOW_CrossEntropyLoss_SGD-lr0.020 | Epoch 10 | Loss 0.032812252067362435
Training | CBOW_CrossEntropyLoss_SGD-lr0.020 | Epoch 11 | Loss 0.03270045539987507
Training | CBOW_CrossEntropyLoss_SGD-lr0.020 | Epoch 12 | Loss 0.03260034241243252
Training | CBOW_CrossEntropyLoss_SGD-lr0.020 | Epoch 13 | Loss 0.032509809169624475
Training | CBOW_CrossEntropyLoss_SGD-lr0.020 | Epoch 14 | Loss 0.03242668771587599
Training | CBOW_CrossEntropyLoss_SGD-lr0.020 | Epoch 15 | Loss 0.032351207941778246
Training | CBOW_CrossEntropyLoss_SGD-lr0.020 | Epoch 16 | Loss 0.03228093999108281
Training | CBOW_CrossEntropyLoss_SGD-lr0.020 | Epoch 17 | Loss 0.032216151584478124
Training | CBOW_CrossEntropyLoss_SGD-lr0.020 | Epoch 18 | Loss 0.032155728189098155
Training | CBOW_CrossEntropyLoss_SGD-lr0.020 | Epoch 19 | Loss 0.032098715322488425
Training | CBOW_CrossEntropyLoss_SGD-lr0.020 | Epoch 20 | Loss 0.03204536615529997
Training | CBOW_CrossEntropyLoss_SGD-lr0.020 | Epoch 21 | Loss 0.03199562539739062
Training | CBOW_CrossEntropyLoss_SGD-lr0.020 | Epoch 22 | Loss 0.031948186455400436
Training | CBOW_CrossEntropyLoss_SGD-lr0.020 | Epoch 23 | Loss 0.031903672070930804
Training | CBOW_CrossEntropyLoss_SGD-lr0.020 | Epoch 24 | Loss 0.0318607756506218
Training | CBOW_CrossEntropyLoss_SGD-lr0.020 | Epoch 25 | Loss 0.031820367286710886
Training | CBOW_CrossEntropyLoss_SGD-lr0.020 | Epoch 26 | Loss 0.031781949367918436
Training | CBOW_CrossEntropyLoss_SGD-lr0.020 | Epoch 27 | Loss 0.03174558591440909
Training | CBOW_CrossEntropyLoss_SGD-lr0.020 | Epoch 28 | Loss 0.03171030207367599
Training | CBOW_CrossEntropyLoss_SGD-lr0.020 | Epoch 29 | Loss 0.03167726766872735
Training | CBOW_CrossEntropyLoss_SGD-lr0.020 | Epoch 30 | Loss 0.03164466394488623
Training | CBOW_CrossEntropyLoss_SGD-lr0.020 | Epoch 31 | Loss 0.031613878975722064
Training | CBOW_CrossEntropyLoss_SGD-lr0.020 | Epoch 32 | Loss 0.03158408631910965
Training | CBOW_CrossEntropyLoss_SGD-lr0.020 | Epoch 33 | Loss 0.03155520158483198
Training | CBOW_CrossEntropyLoss_SGD-lr0.020 | Epoch 34 | Loss 0.0315279930148646
Training | CBOW_CrossEntropyLoss_SGD-lr0.020 | Epoch 35 | Loss 0.031501293696206766
Training | CBOW_CrossEntropyLoss_SGD-lr0.020 | Epoch 36 | Loss 0.031475732190474844
Training | CBOW_CrossEntropyLoss_SGD-lr0.020 | Epoch 37 | Loss 0.031450473325521165
Training | CBOW_CrossEntropyLoss_SGD-lr0.020 | Epoch 38 | Loss 0.031425802282079085
Training | CBOW_CrossEntropyLoss_SGD-lr0.020 | Epoch 39 | Loss 0.03140291798323165
Training | CBOW_CrossEntropyLoss_SGD-lr0.020 | Epoch 40 | Loss 0.031380871766539364
Training | CBOW_CrossEntropyLoss_SGD-lr0.020 | Epoch 41 | Loss 0.0313585287290838
Training | CBOW_CrossEntropyLoss_SGD-lr0.020 | Epoch 42 | Loss 0.0313371576341276
Training | CBOW_CrossEntropyLoss_SGD-lr0.020 | Epoch 43 | Loss 0.031316156110121764
Training | CBOW_CrossEntropyLoss_SGD-lr0.020 | Epoch 44 | Loss 0.03129663286991736
Training | CBOW_CrossEntropyLoss_SGD-lr0.020 | Epoch 45 | Loss 0.03127662656847075
Training | CBOW_CrossEntropyLoss_SGD-lr0.020 | Epoch 46 | Loss 0.031257359408924865
Training | CBOW_CrossEntropyLoss_SGD-lr0.020 | Epoch 47 | Loss 0.031239291172462037
Training | CBOW_CrossEntropyLoss_SGD-lr0.020 | Epoch 48 | Loss 0.031220844635026397
Training | CBOW_CrossEntropyLoss_SGD-lr0.020 | Epoch 49 | Loss 0.031203917121496956
Training | CBOW_CrossEntropyLoss_SGD-lr0.020 | Epoch 50 | Loss 0.03118577031483208
Training | CBOW_CrossEntropyLoss_SGD-lr0.020 | Epoch 51 | Loss 0.031168988301676796
Training | CBOW_CrossEntropyLoss_SGD-lr0.020 | Epoch 52 | Loss 0.031152991990541962
Training | CBOW_CrossEntropyLoss_SGD-lr0.020 | Epoch 53 | Loss 0.031136591188366973
Training | CBOW_CrossEntropyLoss_SGD-lr0.020 | Epoch 54 | Loss 0.03112123507887843
Training | CBOW_CrossEntropyLoss_SGD-lr0.020 | Epoch 55 | Loss 0.031105320247953126
Training | CBOW_CrossEntropyLoss_SGD-lr0.020 | Epoch 56 | Loss 0.03109095063100137
Training | CBOW_CrossEntropyLoss_SGD-lr0.020 | Epoch 57 | Loss 0.03107586806221624
Training | CBOW_CrossEntropyLoss_SGD-lr0.020 | Epoch 58 | Loss 0.031061521725324347
Training | CBOW_CrossEntropyLoss_SGD-lr0.020 | Epoch 59 | Loss 0.031046767987384816
Training | CBOW_CrossEntropyLoss_SGD-lr0.020 | Epoch 60 | Loss 0.031032968731899754
Training | CBOW_CrossEntropyLoss_SGD-lr0.020 | Epoch 61 | Loss 0.031020257819213387
Training | CBOW_CrossEntropyLoss_SGD-lr0.020 | Epoch 62 | Loss 0.031006793214588886
Training | CBOW_CrossEntropyLoss_SGD-lr0.020 | Epoch 63 | Loss 0.03099359342064535
Training | CBOW_CrossEntropyLoss_SGD-lr0.020 | Epoch 64 | Loss 0.03098060896725557
Training | CBOW_CrossEntropyLoss_SGD-lr0.020 | Epoch 65 | Loss 0.03096795625471887
Training | CBOW_CrossEntropyLoss_SGD-lr0.020 | Epoch 66 | Loss 0.030955635283035243
Training | CBOW_CrossEntropyLoss_SGD-lr0.020 | Epoch 67 | Loss 0.030942906910303977
Training | CBOW_CrossEntropyLoss_SGD-lr0.020 | Epoch 68 | Loss 0.030930810009196556
Training | CBOW_CrossEntropyLoss_SGD-lr0.020 | Epoch 69 | Loss 0.030919041938934726
Training | CBOW_CrossEntropyLoss_SGD-lr0.020 | Epoch 70 | Loss 0.03090739608898719
Training | CBOW_CrossEntropyLoss_SGD-lr0.020 | Epoch 71 | Loss 0.03089654176107507
Training | CBOW_CrossEntropyLoss_SGD-lr0.020 | Epoch 72 | Loss 0.030885169451830948
Training | CBOW_CrossEntropyLoss_SGD-lr0.020 | Epoch 73 | Loss 0.03087427147380658
Training | CBOW_CrossEntropyLoss_SGD-lr0.020 | Epoch 74 | Loss 0.030863551006238683
Training | CBOW_CrossEntropyLoss_SGD-lr0.020 | Epoch 75 | Loss 0.03085258318803472
Training | CBOW_CrossEntropyLoss_SGD-lr0.020 | Epoch 76 | Loss 0.030842115891117856
Training | CBOW_CrossEntropyLoss_SGD-lr0.020 | Epoch 77 | Loss 0.03083182319464998
Training | CBOW_CrossEntropyLoss_SGD-lr0.020 | Epoch 78 | Loss 0.030821102727082085
Training | CBOW_CrossEntropyLoss_SGD-lr0.020 | Epoch 79 | Loss 0.03081193038349522
Training | CBOW_CrossEntropyLoss_SGD-lr0.020 | Epoch 80 | Loss 0.030801591126907616
